libmad 0.15.1b-7
libmcrypt 2.5.8-4
libmicrohttpd 0.9.52-1
libmm-glib 1.6.2-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmspub 0.1.2-5
libmwaw 0.3.8-1
libndp 1.6-1
libnewt 0.52.19-1
libnftnl 1.0.6-1
libnl 3.2.28-1
libnm-glib 1.4.2-1
libnotify 0.7.7-1
libodfgen 0.1.6-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.11.2-2
libpagemaker 0.0.3-1
libpaper 1.1.24-9
libparserutils 0.2.3-2
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpeas 1.20.0-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.26-2
libpng12 1.2.56-4
libproxy 0.4.12-2
libpulse 9.0-1
libqtxdg 2.0.0-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.2-1
libreoffice-fresh 5.2.2-2
librevenge 0.0.4-1
librpcsecgss 0.19-8
librsvg 2:2.40.16-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libssh 0.7.3-1
libssh2 1.7.0-2
libstemmer 0+337-2
libsvgtiny 0.1.4-2
libsystemd 231-4
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtirpc 1.0.1-2
libtool 2.4.6-6
libtorrent 0.13.6-2
libtorrent-rasterbar 1:1.1.1-6
libtracker-sparql 1.10.1+3+g0e839d0-1
libtxc_dxtn 1.0.1-6
libunicodenames 1.2.0-1
libunique 1.1.6-6
libunistring 0.9.6-2
libunwind 1.1-3
libusb 1.0.20-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-1
libuv 1.10.1-1
libva 1.7.2-1
libvdpau 1.1.1-2
libvisio 0.1.5-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libwacom 0.22-1
libwapcaplet 0.3.0-3
libwbclient 4.5.0-2
libwebp 0.5.1-1
libwmf 0.2.8.4-13
libwnck 2.31.0-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.3-1
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomp 3.5.0.32-2
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.7-2
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxkbui 1.0.2-5
libxml2 2.9.4+4+g3169602-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-1
linux 4.8.4-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
lirc 1:0.9.4.b-1
llvm-libs 3.8.1-1
logrotate 3.10.0-1
lpsolve 5.5.2.3-1
lrzip 0.630-1
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.166-1
lynx 2.8.8-4
lz4 131-2
lzo 2.09-1
lzop 1.03-5
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mc 4.8.18-1
mdadm 3.4-1
meld 3.16.3-1
mesa 12.0.3-3
mesa-libgl 12.0.3-3
mhash 0.9.9.9-3
mime-types 9-1
minizip 1:1.2.8-7
mkinitcpio 21-1
mkinitcpio-busybox 1.24.2-1
mobile-broadband-provider-info 20151214-1
mozilla-common 1.4-4
mpfr 3.1.5-1
mpg123 1.23.6-1
mplayer 37857-1
mpv 1:0.21.0-1
mtdev 1.1.5-1
mtools 4.0.18-3
nano 2.7.0-1
ncurses 6.0-4
neon 0.30.1-2
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
